size,subset,tune_f1,tune_calls,eval_f1,eval_calls,eval_em,diff_f1_vs_k3,diff_calls_vs_k3,f1_per_call,f1_minus_05calls
3,answer_stable_f1+calibrated_conf+top_score_z_intra,49.080519480519484,1.51,49.85062622562623,1.4733333333333334,40.0,-8.517900617900608,-1.5266666666666666,33.83526666897708,49.113959558959564
4,answer_stable+answer_stable_f1+calibrated_conf+top_score_z_intra,49.080519480519484,1.51,49.85062622562623,1.4733333333333334,40.0,-8.517900617900608,-1.5266666666666666,33.83526666897708,49.113959558959564
3,answer_stable+overlap_signal+top_score_z_intra,48.080519480519484,1.53,49.57284844784845,1.5066666666666666,39.33333333333333,-8.795678395678387,-1.4933333333333334,32.90233304060738,48.81951511451512
3,answer_stable_f1+overlap_signal+top_score_z_intra,48.080519480519484,1.52,49.46173733673733,1.4966666666666666,39.0,-8.906789506789508,-1.5033333333333334,33.047931405392426,48.713404003403994
4,answer_stable+answer_stable_f1+overlap_signal+top_score_z_intra,48.080519480519484,1.52,49.46173733673733,1.4966666666666666,39.0,-8.906789506789508,-1.5033333333333334,33.047931405392426,48.713404003403994
2,answer_stable_seq+top_score_z_intra,49.080519480519484,1.6,49.295070670070665,1.54,39.0,-9.073456173456172,-1.46,32.00978614939653,48.52507067007066
3,answer_stable+answer_stable_seq+top_score_z_intra,49.080519480519484,1.6,49.295070670070665,1.54,39.0,-9.073456173456172,-1.46,32.00978614939653,48.52507067007066
3,answer_stable_f1+answer_stable_seq+top_score_z_intra,49.080519480519484,1.6,49.295070670070665,1.54,39.0,-9.073456173456172,-1.46,32.00978614939653,48.52507067007066
4,answer_stable+answer_stable_f1+answer_stable_seq+top_score_z_intra,49.080519480519484,1.6,49.295070670070665,1.54,39.0,-9.073456173456172,-1.46,32.00978614939653,48.52507067007066
2,calibrated_conf+gap,52.83051948051949,1.77,49.09507067007067,1.68,39.33333333333333,-9.273456173456168,-1.32,29.223256351232543,48.255070670070666
1,gap,51.49718614718615,2.72,49.09507067007067,2.32,39.33333333333333,-9.273456173456168,-0.6800000000000002,21.161668392271842,47.93507067007067
3,answer_stable_seq+overlap_signal+top_score_z_intra,48.080519480519484,1.5,48.96173733673733,1.47,38.666666666666664,-9.406789506789508,-1.53,33.30730431070567,48.22673733673733
4,answer_stable+answer_stable_seq+overlap_signal+top_score_z_intra,48.080519480519484,1.5,48.96173733673733,1.47,38.666666666666664,-9.406789506789508,-1.53,33.30730431070567,48.22673733673733
4,answer_stable_f1+answer_stable_seq+overlap_signal+top_score_z_intra,48.080519480519484,1.5,48.96173733673733,1.47,38.666666666666664,-9.406789506789508,-1.53,33.30730431070567,48.22673733673733
5,answer_stable+answer_stable_f1+answer_stable_seq+overlap_signal+top_score_z_intra,48.080519480519484,1.5,48.96173733673733,1.47,38.666666666666664,-9.406789506789508,-1.53,33.30730431070567,48.22673733673733
3,calibrated_conf+top_score_z_intra+gap,51.830519480519484,1.7,48.9204674954675,1.6466666666666667,39.33333333333333,-9.448059348059338,-1.3533333333333333,29.708785928421555,48.09713416213417
2,top_score_z_intra+gap,51.49718614718615,2.56,48.9204674954675,2.2266666666666666,39.33333333333333,-9.448059348059338,-0.7733333333333334,21.970269833293788,47.80713416213416
4,answer_stable+calibrated_conf+overlap_signal+top_score_z_intra,48.080519480519484,1.49,48.85062622562623,1.43,39.0,-9.517900617900608,-1.57,34.1612770808575,48.135626225626226
