size,subset,tune_f1,tune_calls,eval_f1,eval_calls,eval_em,diff_f1_vs_k3,diff_calls_vs_k3,f1_per_call,f1_minus_05calls
3,answer_stable+calibrated_conf+top_score_z_intra,49.080519480519484,1.53,50.183959558959565,1.48,40.33333333333333,-8.184567284567272,-1.52,33.908080783080784,49.44395955895956
3,answer_in_evidence+calibrated_conf+top_score_z_intra,54.080519480519484,1.6,50.06729289229289,1.6366666666666667,39.666666666666664,-8.301233951233947,-1.3633333333333333,30.591013987144333,49.248959558959555
2,answer_in_evidence+top_score_z_intra,54.080519480519484,1.68,50.06729289229289,1.7566666666666666,39.666666666666664,-8.301233951233947,-1.2433333333333334,28.501305251779634,49.18895955895956
3,calibrated_conf+overlap_signal+top_score_z_intra,51.080519480519484,1.59,49.933959558959565,1.5666666666666667,40.0,-8.434567284567272,-1.4333333333333333,31.872740144016742,49.15062622562623
3,answer_stable+overlap_signal+top_score_z_intra,48.080519480519484,1.53,49.57284844784845,1.5066666666666666,39.33333333333333,-8.795678395678387,-1.4933333333333334,32.90233304060738,48.81951511451512
2,calibrated_conf+gap,52.83051948051949,1.77,49.09507067007067,1.68,39.33333333333333,-9.273456173456168,-1.32,29.223256351232543,48.255070670070666
1,gap,51.49718614718615,2.72,49.09507067007067,2.32,39.33333333333333,-9.273456173456168,-0.6800000000000002,21.161668392271842,47.93507067007067
3,calibrated_conf+top_score_z_intra+gap,51.830519480519484,1.7,48.9204674954675,1.6466666666666667,39.33333333333333,-9.448059348059338,-1.3533333333333333,29.708785928421555,48.09713416213417
2,top_score_z_intra+gap,51.49718614718615,2.56,48.9204674954675,2.2266666666666666,39.33333333333333,-9.448059348059338,-0.7733333333333334,21.970269833293788,47.80713416213416
4,answer_stable+calibrated_conf+overlap_signal+top_score_z_intra,48.080519480519484,1.49,48.85062622562623,1.43,39.0,-9.517900617900608,-1.57,34.1612770808575,48.135626225626226
4,answer_stable+answer_in_evidence+calibrated_conf+top_score_z_intra,49.080519480519484,1.33,48.35062622562623,1.35,38.333333333333336,-10.017900617900608,-1.65,35.815278685649055,47.67562622562623
3,answer_stable+answer_in_evidence+top_score_z_intra,49.080519480519484,1.33,48.35062622562623,1.3833333333333333,38.333333333333336,-10.017900617900608,-1.6166666666666667,34.95225992213944,47.65895955895956
2,answer_stable+gap,48.830519480519484,1.64,48.21173733673733,1.5166666666666666,38.666666666666664,-10.156789506789508,-1.4833333333333334,31.787958683563076,47.453404003403996
4,answer_in_evidence+calibrated_conf+overlap_signal+top_score_z_intra,52.080519480519484,1.41,48.10062622562623,1.4166666666666667,38.0,-10.267900617900608,-1.5833333333333333,33.9533832180891,47.39229289229289
