t_margin,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.75,0.325,63.0,74.97169595110772,4.08,100,37
0.75,0.35,63.0,74.97169595110772,4.08,100,37
0.75,0.375,63.0,74.9716959511077,4.11,100,36
0.75,0.4,63.0,74.9716959511077,4.12,100,36
0.775,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.775,0.075,56.99999999999999,68.51861471861471,2.08,100,100
0.775,0.1,59.0,71.45979118920296,2.34,100,98
0.775,0.125,61.0,73.45979118920295,2.82,100,88
0.775,0.15,63.0,75.45979118920295,3.18,100,75
0.775,0.175,63.0,75.45979118920295,3.5,100,61
0.775,0.2,62.0,74.45979118920295,3.71,100,56
0.775,0.225,63.0,74.79312452253627,3.89,100,48
0.775,0.25,63.0,74.97169595110772,4.0,100,43
0.775,0.275,63.0,74.97169595110772,4.07,100,39
0.775,0.3,63.0,74.97169595110772,4.07,100,38
0.775,0.325,63.0,74.97169595110772,4.08,100,37
0.775,0.35,63.0,74.97169595110772,4.08,100,37
0.775,0.375,63.0,74.9716959511077,4.11,100,36
0.775,0.4,63.0,74.9716959511077,4.12,100,36
0.8,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.8,0.075,56.99999999999999,68.51861471861471,2.08,100,100
0.8,0.1,59.0,71.45979118920295,2.34,100,97
0.8,0.125,61.0,73.45979118920295,2.87,100,83
0.8,0.15,63.0,75.45979118920296,3.24,100,67
0.8,0.175,63.0,75.45979118920295,3.56,100,53
0.8,0.2,62.0,74.45979118920296,3.77,100,48
0.8,0.225,63.0,74.79312452253629,3.97,100,39
0.8,0.25,63.0,74.9716959511077,4.1,100,33
0.8,0.275,63.0,74.9716959511077,4.17,100,29
0.8,0.3,63.0,74.97169595110772,4.17,100,28
0.8,0.325,63.0,74.97169595110772,4.18,100,27
0.8,0.35,63.0,74.97169595110772,4.18,100,27
0.8,0.375,63.0,74.97169595110772,4.21,100,26
0.8,0.4,63.0,74.9716959511077,4.24,100,25
0.825,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.825,0.075,56.99999999999999,68.51861471861471,2.08,100,100
0.825,0.1,59.0,71.45979118920295,2.39,100,97
0.825,0.125,61.0,73.45979118920295,3.06,100,81
0.825,0.15,63.0,75.45979118920295,3.56,100,61
0.825,0.175,63.0,75.45979118920296,3.99,100,41
0.825,0.2,62.0,74.45979118920295,4.22,100,36
0.825,0.225,63.0,74.79312452253629,4.49,100,23
0.825,0.25,63.0,74.97169595110772,4.62,100,16
0.825,0.275,63.0,74.97169595110772,4.71,100,11
0.825,0.3,63.0,74.97169595110772,4.71,100,10
0.825,0.325,63.0,74.9716959511077,4.72,100,9
0.825,0.35,63.0,74.9716959511077,4.72,100,9
0.825,0.375,63.0,74.97169595110772,4.75,100,8
0.825,0.4,63.0,74.97169595110772,4.79,100,7
