size,subset,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
3,calibrated_logit_margin+answer_stable+overlap_signal,1,1,70.45979118920295,1.71,61.60891793391793,51.0,1.6733333333333333,300,-6.429653679653681,-9.190674603174601,-3.8777651515151517,-0.8633333333333333,-5.199800199800199,-8.059625235875236,-2.6076966089466094,-3.578860028860029,-6.356112914862916,-0.7645111832611837
3,calibrated_logit_margin+answer_stable+calibrated_conf,1,1,68.51861471861471,1.62,61.29780682280682,50.66666666666667,1.56,300,-6.74076479076479,-9.751693722943726,-4.035149711399712,-0.9766666666666667,-5.510911310911311,-8.39280525030525,-2.700569985569987,-3.88997113997114,-6.913809523809523,-0.9816973304473312
4,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal,1,1,68.51861471861471,1.62,61.29780682280682,50.66666666666667,1.56,300,-6.74076479076479,-9.751693722943726,-4.035149711399712,-0.9766666666666667,-5.510911310911311,-8.39280525030525,-2.700569985569987,-3.88997113997114,-6.913809523809523,-0.9816973304473312
2,calibrated_logit_margin+calibrated_conf,1,0,68.51861471861471,1.63,61.29780682280682,50.66666666666667,1.5733333333333333,300,-6.74076479076479,-9.751693722943726,-4.035149711399712,-0.9633333333333334,-5.510911310911311,-8.39280525030525,-2.700569985569987,-3.88997113997114,-6.913809523809523,-0.9816973304473312
3,calibrated_logit_margin+calibrated_conf+overlap_signal,1,0,68.51861471861471,1.62,61.29780682280682,50.66666666666667,1.5733333333333333,300,-6.74076479076479,-9.751693722943726,-4.035149711399712,-0.9633333333333334,-5.510911310911311,-8.39280525030525,-2.700569985569987,-3.88997113997114,-6.913809523809523,-0.9816973304473312
1,top_score_z_intra,0,0,64.68836261777439,2.84,58.94897787397787,48.66666666666667,2.5733333333333333,182,-9.08959373959374,-12.481907953157952,-5.466260406260408,0.03666666666666667,-7.85974025974026,-11.07231240981241,-4.204837662337663,-6.238800088800088,-9.878068181818183,-2.5462608225108228
2,answer_stable+top_score_z_intra,0,1,64.17645785586963,1.65,58.234386909386906,47.66666666666667,1.6333333333333333,299,-9.804184704184705,-13.087420634920635,-6.466572871572872,-0.9033333333333333,-8.574331224331225,-11.903312104562106,-5.0234860972360975,-6.953391053391054,-10.259267676767676,-3.543199855699855
2,overlap_signal+top_score_z_intra,0,0,62.17645785586963,1.79,58.0775493025493,47.66666666666667,1.8033333333333332,274,-9.961022311022312,-13.420333416583418,-6.205977217227217,-0.7333333333333333,-8.731168831168832,-11.972463924963924,-5.297319624819625,-7.1102286602286595,-10.683350954600952,-3.4913600288600293
3,answer_stable+overlap_signal+top_score_z_intra,0,1,62.17645785586963,1.53,57.60105357605357,47.0,1.4966666666666666,300,-10.437518037518037,-13.742067099567098,-7.012994227994228,-1.04,-9.207664557664557,-12.47870435120435,-5.791237789987791,-7.586724386724386,-11.049772727272726,-4.136334776334776
3,answer_stable+calibrated_conf+top_score_z_intra,0,1,61.17645785586963,1.46,57.40105357605356,47.0,1.3933333333333333,300,-10.637518037518037,-14.01481240981241,-7.267142857142858,-1.1433333333333333,-9.407664557664559,-12.79636988011988,-5.8792243867243865,-7.786724386724388,-11.233311688311687,-4.227810245310246
4,answer_stable+calibrated_conf+overlap_signal+top_score_z_intra,0,1,61.17645785586963,1.46,57.40105357605356,47.0,1.3933333333333333,300,-10.637518037518037,-14.01481240981241,-7.267142857142858,-1.1433333333333333,-9.407664557664559,-12.79636988011988,-5.8792243867243865,-7.786724386724388,-11.233311688311687,-4.227810245310246
3,calibrated_conf+overlap_signal+top_score_z_intra,0,0,61.17645785586963,1.47,57.40105357605356,47.0,1.4033333333333333,300,-10.637518037518037,-14.01481240981241,-7.267142857142858,-1.1333333333333333,-9.407664557664559,-12.79636988011988,-5.8792243867243865,-7.786724386724388,-11.233311688311687,-4.227810245310246
2,calibrated_conf+top_score_z_intra,0,0,61.17645785586963,1.48,57.40105357605356,47.0,1.4133333333333333,300,-10.637518037518037,-14.01481240981241,-7.267142857142858,-1.1233333333333333,-9.407664557664559,-12.79636988011988,-5.8792243867243865,-7.786724386724388,-11.233311688311687,-4.227810245310246
1,gap,0,0,63.93836261777439,2.72,56.70850168350168,47.0,2.32,201,-11.33006993006993,-14.979849456099457,-7.422003968253968,-0.21666666666666667,-10.10021645021645,-13.769641053391055,-6.3188690476190486,-8.479276279276279,-12.37710816960817,-4.426379453879455
2,top_score_z_intra+gap,0,0,62.93836261777439,2.56,56.5338985088985,47.0,2.2266666666666666,208,-11.504673104673104,-15.118253968253967,-7.544747474747475,-0.31,-10.274819624819624,-13.924271284271283,-6.4406313131313135,-8.653879453879455,-12.50927045177045,-4.511790293040293
2,calibrated_logit_margin+top_score_z_intra,1,0,63.68836261777439,1.71,56.48122895622895,46.33333333333333,1.5866666666666667,290,-11.557342657342657,-15.147449078699077,-7.768940781440781,-0.95,-10.327489177489177,-13.88596681096681,-6.488780663780664,-8.706549006549007,-12.540201603951603,-4.838185425685425
3,calibrated_logit_margin+answer_stable+top_score_z_intra,1,1,64.17645785586963,1.38,56.11584434084433,46.0,1.35,299,-11.922727272727272,-15.467420634920636,-8.35245670995671,-1.1866666666666668,-10.692873792873794,-14.200183982683983,-6.781273448773449,-9.07193362193362,-12.818219696969699,-5.481857864357867
2,answer_stable+gap,0,1,62.426457855869636,1.61,55.99391071891072,46.0,1.51,299,-12.044660894660895,-15.47081168831169,-8.47396645021645,-1.0266666666666666,-10.814807414807413,-14.579781191031193,-7.0894895382395395,-9.193867243867244,-13.020169552669552,-5.347770562770563
2,overlap_signal+gap,0,0,60.42645785586963,1.71,55.837073112073114,46.0,1.6766666666666667,277,-12.2014985014985,-15.763026695526694,-8.269766899766902,-0.86,-10.97164502164502,-14.541511544011543,-7.280046897546898,-9.35070485070485,-13.28734126984127,-5.260652541902542
3,answer_stable+top_score_z_intra+gap,0,1,62.426457855869636,1.56,55.81930754430755,46.0,1.48,299,-12.219264069264069,-15.723663419913422,-8.653212481962482,-1.0566666666666666,-10.98941058941059,-14.779430014430012,-7.236481296481297,-9.36847041847042,-13.15305735930736,-5.546572871572873
3,calibrated_logit_margin+overlap_signal+top_score_z_intra,1,0,62.17645785586963,1.37,55.736784511784506,45.33333333333333,1.4,297,-12.3017871017871,-15.926810966810967,-8.529857087357088,-1.1366666666666667,-11.071933621933619,-14.516865079365083,-7.308616522366523,-9.450993450993451,-13.293161144411144,-5.542441863691865
3,overlap_signal+top_score_z_intra+gap,0,0,60.42645785586963,1.64,55.66246993746993,46.0,1.6266666666666667,279,-12.376101676101676,-16.026790709290708,-8.350797258297257,-0.91,-11.146248196248196,-14.740189393939396,-7.413075396825398,-9.525308025308025,-13.364329975579977,-5.580402236652238
4,calibrated_logit_margin+answer_stable+calibrated_conf+top_score_z_intra,1,1,61.17645785586963,1.29,55.50473322973324,45.33333333333333,1.2366666666666666,300,-12.533838383838381,-16.153616522366523,-8.93893759018759,-1.3,-11.303984903984903,-14.82814435564436,-7.602584776334777,-9.683044733044731,-13.373201659451658,-5.886980519480519
5,calibrated_logit_margin+answer_stable+calibrated_conf+overlap_signal+top_score_z_intra,1,1,61.17645785586963,1.29,55.50473322973324,45.33333333333333,1.2366666666666666,300,-12.533838383838381,-16.153616522366523,-8.93893759018759,-1.3,-11.303984903984903,-14.82814435564436,-7.602584776334777,-9.683044733044731,-13.373201659451658,-5.886980519480519
